"id","name","salesPrice","originalPrice","discountPercentage","rating","countReview","productUrl","imageUrl","shopName","shopUrl","shopLocation","isGoldMerchant","isOfficial","preorder"
2306362431,"puly vanbel Dinamo pencuci mesin cuci semua merk lubang as 10mm","Rp27.500","",0,5,8,"https://www.tokopedia.com/93teknik/puly-vanbel-dinamo-pencuci-mesin-cuci-semua-merk-lubang-as-10mm?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/19/6ea91a2f-b603-4225-9061-81b6f93495f5.jpg","93 Teknik","https://www.tokopedia.com/93teknik","Jakarta Utara",true,false,false
7490935001,"van belt dinamo mesin cuci original electrolux","Rp190.000","",0,5,7,"https://www.tokopedia.com/sendyjayateknik/van-belt-dinamo-mesin-cuci-original-electrolux?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/1/11/e173a6a3-155f-4577-8806-5f40fba513ea.jpg","Sendy Jaya Teknik","https://www.tokopedia.com/sendyjayateknik","Jakarta Barat",true,false,false
8438904676,"MODUL PCB J800AM MESIN CUCI TOSHIBA TOP LOADING AW-J800AN AW-J900DN","Rp275.000","",0,5,5,"https://www.tokopedia.com/ga-electric/modul-pcb-j800am-mesin-cuci-toshiba-top-loading-aw-j800an-aw-j900dn?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/10/a6c621a1-be74-4a06-b169-4842201bbf34.jpg","GA ELECTRIC","https://www.tokopedia.com/ga-electric","Surabaya",true,false,false
2081235712,"SPEED QUEEN LWN311 Mesin Cuci Top Loading 10.5 kg","Rp18.600.000","",0,5,4,"https://www.tokopedia.com/b-elektronik/speed-queen-lwn311-mesin-cuci-top-loading-10-5-kg?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/12/16/d4fc9a30-f819-401b-a314-bc018395ea4b.jpg","Bahagia Elektronik","https://www.tokopedia.com/b-elektronik","Jakarta Pusat",true,true,false
836232507,"TIMER PENCUCI MESIN CUCI SHARP 2 TABUNG 4 PIN / SOKET","Rp23.000","",0,5,17,"https://www.tokopedia.com/kc-cool/timer-pencuci-mesin-cuci-sharp-2-tabung-4-pin-soket?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/4/13/b8ca0daf-1c22-4f62-b38a-e2effa1796a7.jpg","KC Cool","https://www.tokopedia.com/kc-cool","Jakarta Barat",true,false,false
10202385998,"AQUA MESIN CUCI FRONT LOAD FQW700829QD 7 KG","Rp3.784.999","",0,5,2,"https://www.tokopedia.com/log-inmegastore/aqua-mesin-cuci-front-load-fqw700829qd-7-kg-mesin-cuci?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/2/4/8a4403fe-3158-442e-a01f-3dcb01736f5c.png","LOG IN MEGASTORE","https://www.tokopedia.com/log-inmegastore","Bandung",true,true,false
327467036,"SELANG KARET PEMBUANGAN TYPE L AIR MESIN CUCI LG SAMSUNG","Rp50.000","",0,5,53,"https://www.tokopedia.com/baridaman/selang-karet-pembuangan-type-l-air-mesin-cuci-lg-samsung?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/product-1/2020/4/29/17673314/17673314_126a8c00-4d19-4a29-a4fd-4355561775e1_787_787","baridaman","https://www.tokopedia.com/baridaman","Medan",true,false,false
1727308421,"DINAMO PENCUCI MESIN CUCI SANYO AQUA MOTOR WASH DENPO SANKEN TEMBAGA","Rp209.880","",0,5,7,"https://www.tokopedia.com/rizkyjayasejahtera/dinamo-pencuci-mesin-cuci-sanyo-aqua-motor-wash-denpo-sanken-tembaga?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/23/4f350404-93fa-47b8-b7dc-d205cd6bb5c0.png","Rizky Jaya Sejahtera (RJS)","https://www.tokopedia.com/rizkyjayasejahtera","Bekasi",true,false,false
3274184105,"baut mur nut kaki karet motor dinamo mesin cuci wash sanken umum","Rp2.999","",0,5,73,"https://www.tokopedia.com/tojilasman/baut-mur-nut-kaki-karet-motor-dinamo-mesin-cuci-wash-sanken-umum?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/28/fafe1485-b1c4-46cc-a561-ba03228c106e.jpg","lasman toji","https://www.tokopedia.com/tojilasman","Kab. Bekasi",true,false,false
3747553296,"Mesin Cuci Sharp","Rp709.999","",0,0,0,"https://www.tokopedia.com/archive-bestsellingtop/mesin-cuci-sharp?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/5/6/55c80cb5-93c4-41ee-b919-e71cd4f69a2c.jpg","best selling top shop","https://www.tokopedia.com/archive-bestsellingtop","Tangerang",true,false,false
5735688646,"MESIN CUCI LG 2TABUNG 9,5KG / WASHING MACHINE LG P9050R / LG p9050r","Rp2.435.000","",0,5,4,"https://www.tokopedia.com/miami/mesin-cuci-lg-2tabung-9-5kg-washing-machine-lg-p9050r-lg-p9050r?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/29/43dcb2b7-9323-4782-a938-aa19eb738467.jpg","Miami","https://www.tokopedia.com/miami","Surabaya",true,true,false
5833383306,"original seal karet pembuangan mesin cuci LG","Rp85.000","",0,4,3,"https://www.tokopedia.com/alipbaba/original-seal-karet-pembuangan-mesin-cuci-lg?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/31/b1c8c4f1-4704-47d2-bc40-7ed953206b15.jpg","alipbaba","https://www.tokopedia.com/alipbaba","Kab. Sidoarjo",true,false,false
6969928348,"Mesin Cuci Aqua Japan 2 Tabung Bukaan Atas Qw 961Xt Kapasitas 9 KG Hijab Series Hemat Listrik Garansi Resmi | Machine Washing Twin Tub Capacity 9KG Low Watt  Qw 961 Xt","Rp1.629.000","",0,5,1,"https://www.tokopedia.com/electronicofficial/mesin-cuci-aqua-japan-2-tabung-bukaan-atas-qw-961xt-kapasitas-9-kg-hijab-series-hemat-listrik-garansi-resmi-machine-washing-twin-tub-capacity-9kg-low-watt-qw-961-xt?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/10/5d88dc38-7544-4dbc-bf80-ce977ca8c08a.jpg","Electronic Official Store","https://www.tokopedia.com/electronicofficial","Jakarta Timur",true,true,false
2805530290,"SAMSUNG WF21T6500GV Mesin Cuci Front Loading [21 Kg] - Garansi Resmi","Rp15.974.000","",0,5,1,"https://www.tokopedia.com/maxistoremksr/samsung-wf21t6500gv-mesin-cuci-front-loading-21-kg-garansi-resmi?extParam=ivf%3Dfalse","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/2/11/519f51ea-07b2-4a7a-8115-d78ed754a2bb.jpg","Maxistoremakassar","https://www.tokopedia.com/maxistoremksr","Makassar",true,false,false
